neighborhoods,crimerate,density,,,,
Allston,12.1,"18,505",,,,
Brighton,12.1,"15,786",,,,
Roxbury,30.1,"23,831",,,,
Jamaica Plain,19.0,"22,567",,,,
East Boston,14.4,"27,604",,,,
Fenway,35.0,"19,291",,,,
Mattapan,43.3,"12,490",,,,
South End,35.0,"42,624",,,,
Roslindale,8.3,"6,389",,,,
North End,41.7,"27,580",,,,
Hyde Park,20.0,"6,784",,,,
West Roxbury,8.3,"4,947",,,,
Back Bay,35.0,"14,775",,,,
Beacon Hill,35.0,"47,862",,,,
Charlestown,15.6,"11,756",,,,
South Boston,28.1,"11,837",,,,
Misson Hill,30.1,"26,317",,,,
Dorchester,13.1,"18,729",,,,
Harbor Islands,3.1,415,,,,
Longwood Medical Area,35.0,"21,763",,,,
Chinatown,41.7,"42,158",,,,
Downtown,41.7,"21,954",,,,
Leather District,41.7,"21,763",,,,
West End,41.7,"29,500",,,,
South Boston Waterfront,28.1,"36,532",,,,
